H–O–H Angle (°),Energy (Eh)
60.2,-76.36520612
60.3,-76.36551531
60.4,-76.36582338
60.5,-76.36613033
60.7,-76.36674121
60.8,-76.36704498
60.9,-76.36734769
61.0,-76.36764945
61.1,-76.36795003
61.3,-76.36854819
61.4,-76.36884557
61.5,-76.36914201
61.7,-76.36973179
61.9,-76.37031764
62.0,-76.37060897
62.1,-76.37089910
62.2,-76.37118857
62.3,-76.37147681
62.4,-76.37176396
62.5,-76.37205045
62.6,-76.37233562
62.7,-76.37261994
62.9,-76.37318567
63.0,-76.37346697
63.1,-76.37374732
63.2,-76.37402685
63.4,-76.37458270
63.5,-76.37485915
63.6,-76.37513468
63.7,-76.37540936
63.8,-76.37568293
64.0,-76.37622726
64.2,-76.37676792
64.3,-76.37703688
64.4,-76.37730484
64.5,-76.37757190
64.6,-76.37783804
64.7,-76.37810311
64.8,-76.37836748
64.9,-76.37863086
65.0,-76.37889327
65.1,-76.37915476
65.2,-76.37941543
65.3,-76.37967508
65.4,-76.37993388
65.6,-76.38044877
65.7,-76.38070497
65.8,-76.38096005
65.9,-76.38121445
66.0,-76.38146780
66.2,-76.38197196
66.3,-76.38222277
66.4,-76.38247266
66.5,-76.38272161
66.6,-76.38296974
66.7,-76.38321702
66.8,-76.38346341
66.9,-76.38370898
67.0,-76.38395370
67.1,-76.38419744
67.2,-76.38444042
67.3,-76.38468244
67.4,-76.38492372
67.5,-76.38516405
67.6,-76.38540364
67.7,-76.38564214
67.8,-76.38588003
67.9,-76.38611706
68.0,-76.38635327
68.1,-76.38658844
68.2,-76.38682291
68.3,-76.38705649
68.4,-76.38728931
68.5,-76.38752131
68.7,-76.38798267
68.8,-76.38821212
68.9,-76.38844079
69.1,-76.38889565
69.2,-76.38912181
69.3,-76.38934718
69.4,-76.38957169
69.5,-76.38979542
69.7,-76.39024047
69.8,-76.39046179
69.9,-76.39068229
70.1,-76.39112082
70.2,-76.39133884
70.3,-76.39155618
70.4,-76.39177264
70.5,-76.39198836
70.6,-76.39220323
70.7,-76.39241741
70.8,-76.39263069
70.9,-76.39284311
71.0,-76.39305487
71.1,-76.39326579
71.2,-76.39347601
71.3,-76.39368541
71.4,-76.39389386
71.5,-76.39410176
71.6,-76.39430877
71.7,-76.39451500
71.8,-76.39472052
72.0,-76.39512918
72.1,-76.39533228
72.2,-76.39553473
72.3,-76.39573636
72.5,-76.39613729
72.6,-76.39633664
72.7,-76.39653509
72.8,-76.39673289
72.9,-76.39692994
73.1,-76.39732180
73.2,-76.39751656
73.4,-76.39790380
73.5,-76.39809629
73.6,-76.39828809
73.8,-76.39866928
73.9,-76.39885884
74.1,-76.39923556
74.2,-76.39942278
74.3,-76.39960937
74.4,-76.39979519
74.5,-76.39998020
74.6,-76.40016448
74.9,-76.40071294
75.0,-76.40089436
75.1,-76.40107498
75.2,-76.40125489
75.3,-76.40143400
75.4,-76.40161245
75.6,-76.40196719
75.7,-76.40214334
75.8,-76.40231889
75.9,-76.40249369
