H–O–H Angle (°),Energy (Eh)
101.00,-76.42592537
101.01,-76.42592747
101.02,-76.42592956
101.03,-76.42593165
101.04,-76.42593373
101.05,-76.42593581
101.06,-76.42593788
101.07,-76.42593994
101.08,-76.42594201
101.09,-76.42594407
101.10,-76.42594611
101.11,-76.42594816
101.12,-76.42595020
101.13,-76.42595224
101.14,-76.42595426
101.15,-76.42595629
101.16,-76.42595831
101.17,-76.42596033
101.18,-76.42596234
101.19,-76.42596434
101.20,-76.42596635
101.21,-76.42596834
101.22,-76.42597033
101.23,-76.42597231
101.24,-76.42597430
101.25,-76.42597627
101.26,-76.42597824
101.27,-76.42598020
101.28,-76.42598216
101.29,-76.42598412
101.30,-76.42598606
101.31,-76.42598801
101.32,-76.42598994
101.33,-76.42599188
101.34,-76.42599381
101.35,-76.42599573
101.36,-76.42599765
101.37,-76.42599956
101.38,-76.42600148
101.39,-76.42600338
101.40,-76.42600527
101.41,-76.42600717
101.42,-76.42600906
101.43,-76.42601095
101.44,-76.42601282
101.45,-76.42601469
101.46,-76.42601656
101.47,-76.42601842
101.48,-76.42602028
101.49,-76.42602214
101.50,-76.42602398
101.51,-76.42602582
101.52,-76.42602766
101.53,-76.42602950
101.54,-76.42603132
101.55,-76.42603314
101.56,-76.42603496
101.57,-76.42603677
101.58,-76.42603857
101.59,-76.42604037
101.60,-76.42604217
101.61,-76.42604397
101.62,-76.42604575
101.63,-76.42604753
101.64,-76.42604931
101.65,-76.42605109
101.66,-76.42605285
101.67,-76.42605461
101.68,-76.42605636
101.69,-76.42605811
101.70,-76.42605986
101.71,-76.42606161
101.72,-76.42606334
101.73,-76.42606507
101.74,-76.42606680
101.75,-76.42606851
101.76,-76.42607023
101.77,-76.42607194
101.78,-76.42607365
101.79,-76.42607535
101.80,-76.42607705
101.81,-76.42607874
101.82,-76.42608042
101.83,-76.42608210
101.84,-76.42608378
101.85,-76.42608545
101.86,-76.42608711
101.87,-76.42608877
101.88,-76.42609043
101.89,-76.42609208
101.90,-76.42609372
101.91,-76.42609536
101.92,-76.42609700
101.93,-76.42609862
101.94,-76.42610025
101.95,-76.42610187
101.96,-76.42610349
101.97,-76.42610509
101.98,-76.42610670
101.99,-76.42610830
102.00,-76.42610989
102.01,-76.42611149
102.02,-76.42611307
102.03,-76.42611465
102.04,-76.42611623
102.05,-76.42611780
102.06,-76.42611936
102.07,-76.42612091
102.08,-76.42612247
102.09,-76.42612402
102.10,-76.42612557
102.11,-76.42612710
102.12,-76.42612864
102.13,-76.42613017
102.14,-76.42613169
102.15,-76.42613321
102.16,-76.42613472
102.17,-76.42613624
102.18,-76.42613774
102.19,-76.42613924
102.20,-76.42614073
102.21,-76.42614222
102.22,-76.42614370
102.23,-76.42614519
102.24,-76.42614666
102.25,-76.42614813
102.26,-76.42614959
102.27,-76.42615105
102.28,-76.42615251
102.29,-76.42615395
102.30,-76.42615540
102.31,-76.42615684
102.32,-76.42615827
102.33,-76.42615970
102.34,-76.42616112
102.35,-76.42616254
102.36,-76.42616395
102.37,-76.42616536
102.38,-76.42616676
102.39,-76.42616816
102.40,-76.42616956
102.41,-76.42617095
102.42,-76.42617233
102.43,-76.42617371
102.44,-76.42617508
102.45,-76.42617645
102.46,-76.42617782
102.47,-76.42617918
102.48,-76.42618053
102.49,-76.42618188
102.50,-76.42618322
102.51,-76.42618456
102.52,-76.42618590
102.53,-76.42618723
102.54,-76.42618855
102.55,-76.42618987
102.56,-76.42619118
102.57,-76.42619249
102.58,-76.42619379
102.59,-76.42619509
102.60,-76.42619638
102.61,-76.42619768
102.62,-76.42619896
102.63,-76.42620024
102.64,-76.42620151
102.65,-76.42620278
102.66,-76.42620404
102.67,-76.42620530
102.68,-76.42620656
102.69,-76.42620780
102.70,-76.42620905
102.71,-76.42621029
102.72,-76.42621153
102.73,-76.42621275
102.74,-76.42621397
102.75,-76.42621520
102.76,-76.42621641
102.77,-76.42621761
102.78,-76.42621882
102.79,-76.42622002
102.80,-76.42622122
102.81,-76.42622241
102.82,-76.42622359
102.83,-76.42622477
102.84,-76.42622594
102.85,-76.42622711
102.86,-76.42622827
102.87,-76.42622944
102.88,-76.42623059
102.89,-76.42623174
102.90,-76.42623289
102.91,-76.42623403
102.92,-76.42623516
102.93,-76.42623629
102.94,-76.42623742
102.95,-76.42623853
102.96,-76.42623965
102.97,-76.42624076
102.98,-76.42624186
102.99,-76.42624296
103.00,-76.42624406
103.01,-76.42624515
103.02,-76.42624623
103.03,-76.42624731
103.04,-76.42624838
103.05,-76.42624946
103.06,-76.42625052
103.07,-76.42625158
103.08,-76.42625264
103.09,-76.42625369
103.10,-76.42625473
103.11,-76.42625577
103.12,-76.42625681
103.13,-76.42625784
103.14,-76.42625887
103.15,-76.42625989
103.16,-76.42626090
103.17,-76.42626191
103.18,-76.42626292
103.19,-76.42626392
103.20,-76.42626491
103.21,-76.42626591
103.22,-76.42626689
103.23,-76.42626787
103.24,-76.42626885
103.25,-76.42626982
103.26,-76.42627079
103.27,-76.42627175
103.28,-76.42627271
103.29,-76.42627366
103.30,-76.42627460
103.31,-76.42627555
103.32,-76.42627648
103.33,-76.42627741
103.34,-76.42627834
103.35,-76.42627926
103.36,-76.42628018
103.37,-76.42628109
103.38,-76.42628200
103.39,-76.42628290
103.40,-76.42628380
103.41,-76.42628469
103.42,-76.42628558
103.43,-76.42628646
103.44,-76.42628733
103.45,-76.42628821
103.46,-76.42628908
103.47,-76.42628994
103.48,-76.42629080
103.49,-76.42629165
