O–O Distance (Å),Energy (Eh)
2.001,-152.76802423
2.002,-152.76845514
2.004,-152.76931138
2.005,-152.76973672
2.008,-152.77100173
2.009,-152.77141975
2.010,-152.77183597
2.012,-152.77266301
2.014,-152.77348292
2.018,-152.77510159
2.019,-152.77550189
2.020,-152.77590048
2.022,-152.77669248
2.024,-152.77747766
2.026,-152.77825608
2.027,-152.77864277
2.028,-152.77902779
2.030,-152.77979287
2.031,-152.78017293
2.034,-152.78130333
2.036,-152.78204883
2.038,-152.78278792
2.039,-152.78315508
2.040,-152.78352066
2.042,-152.78424710
2.043,-152.78460798
2.044,-152.78496730
2.046,-152.78568132
2.047,-152.78603602
2.048,-152.78638920
2.049,-152.78674086
2.050,-152.78709100
2.051,-152.78743964
2.056,-152.78916048
2.057,-152.78950022
2.060,-152.79051070
2.061,-152.79084463
2.062,-152.79117713
2.063,-152.79150820
2.066,-152.79249290
2.069,-152.79346496
2.070,-152.79378621
2.071,-152.79410607
2.074,-152.79505743
2.079,-152.79661597
2.080,-152.79692368
2.084,-152.79814134
2.085,-152.79844249
2.087,-152.79904093
2.088,-152.79933822
2.089,-152.79963423
2.090,-152.79992898
2.093,-152.80080563
2.095,-152.80138381
2.100,-152.80280767
2.102,-152.80336869
2.104,-152.80392490
2.106,-152.80447635
2.108,-152.80502306
2.109,-152.80529466
2.111,-152.80583436
2.112,-152.80610247
2.113,-152.80636943
2.114,-152.80663524
2.117,-152.80742584
2.118,-152.80768712
2.119,-152.80794727
2.120,-152.80820630
2.123,-152.80897672
2.125,-152.80948484
2.128,-152.81023884
2.129,-152.81048802
2.130,-152.81073613
2.131,-152.81098316
2.133,-152.81147405
2.134,-152.81171791
2.136,-152.81220249
2.137,-152.81244322
2.138,-152.81268291
2.139,-152.81292157
2.140,-152.81315920
2.141,-152.81339581
2.142,-152.81363139
2.144,-152.81409953
2.154,-152.81638052
2.155,-152.81660324
2.157,-152.81704581
2.158,-152.81726567
2.161,-152.81791956
2.163,-152.81835079
2.164,-152.81856502
